plz4,plzz,plznamk,plznaml,ktkz,gdenr,gdenamk,source,changed
8331,0,Auslikon,Auslikon,ZH,177,Pfäffikon,GEN,20.05.2023 05:34:00
8623,0,Wetzikon ZH,Wetzikon ZH,ZH,177,Pfäffikon,GEN,20.05.2023 05:34:00
8332,0,Russikon,Russikon,ZH,178,Russikon,GEN,20.05.2023 05:34:00
8322,0,Madetswil,Madetswil,ZH,178,Russikon,GEN,20.05.2023 05:34:00
8332,2,Rumlikon,Rumlikon,ZH,178,Russikon,GEN,20.05.2023 05:34:01
8322,2,Gündisau,Gündisau,ZH,178,Russikon,GEN,20.05.2023 05:34:01
8484,0,Weisslingen,Weisslingen,ZH,180,Weisslingen,GEN,20.05.2023 05:34:00
8486,0,Rikon im Tösstal,Rikon im Tösstal,ZH,180,Weisslingen,GEN,20.05.2023 05:34:00
8484,2,Neschwil,Neschwil,ZH,180,Weisslingen,GEN,20.05.2023 05:34:00
8484,3,Theilingen,Theilingen,ZH,180,Weisslingen,GEN,20.05.2023 05:34:00
8308,2,Agasul,Agasul,ZH,180,Weisslingen,GEN,20.05.2023 05:34:00
8492,0,Wila,Wila,ZH,181,Wila,GEN,20.05.2023 05:34:00
8493,0,Saland,Saland,ZH,181,Wila,GEN,20.05.2023 05:34:00
8489,0,Wildberg,Wildberg,ZH,182,Wildberg,GEN,20.05.2023 05:34:00
8489,1,Schalchen,Schalchen,ZH,182,Wildberg,GEN,20.05.2023 05:34:01
8488,0,Turbenthal,Turbenthal,ZH,182,Wildberg,GEN,20.05.2023 05:34:00
8489,2,Ehrikon,Ehrikon,ZH,182,Wildberg,GEN,20.05.2023 05:34:01
8322,0,Madetswil,Madetswil,ZH,182,Wildberg,GEN,20.05.2023 05:34:00
8600,0,Dübendorf,Dübendorf,ZH,191,Dübendorf,GEN,20.05.2023 05:34:00
8603,0,Schwerzenbach,Schwerzenbach,ZH,191,Dübendorf,GEN,20.05.2023 05:34:00
8051,0,Zürich,Zürich,ZH,191,Dübendorf,GEN,20.05.2023 05:34:00
8044,1,Gockhausen,Gockhausen,ZH,191,Dübendorf,GEN,20.05.2023 05:34:01
8132,2,Hinteregg,Hinteregg,ZH,192,Egg,GEN,20.05.2023 05:34:00
8127,0,Forch,Forch,ZH,192,Egg,GEN,20.05.2023 05:34:00
8132,0,Egg b. Zürich,Egg b. Zürich,ZH,192,Egg,GEN,20.05.2023 05:34:00
8133,0,Esslingen,Esslingen,ZH,192,Egg,GEN,20.05.2023 05:34:00
8117,0,Fällanden,Fällanden,ZH,193,Fällanden,GEN,20.05.2023 05:34:00
8118,0,Pfaffhausen,Pfaffhausen,ZH,193,Fällanden,GEN,20.05.2023 05:34:01
8121,0,Benglen,Benglen,ZH,193,Fällanden,GEN,20.05.2023 05:34:00
8606,2,Greifensee,Greifensee,ZH,194,Greifensee,GEN,20.05.2023 05:34:00
8122,0,Binz,Binz,ZH,195,Maur,GEN,20.05.2023 05:34:00
8123,0,Ebmatingen,Ebmatingen,ZH,195,Maur,GEN,20.05.2023 05:34:00
8127,0,Forch,Forch,ZH,195,Maur,GEN,20.05.2023 05:34:00
8124,0,Maur,Maur,ZH,195,Maur,GEN,20.05.2023 05:34:00
8132,2,Hinteregg,Hinteregg,ZH,195,Maur,GEN,20.05.2023 05:34:00
8617,0,Mönchaltorf,Mönchaltorf,ZH,196,Mönchaltorf,GEN,20.05.2023 05:34:00
8607,0,Aathal-Seegräben,Aathal-Seegräben,ZH,196,Mönchaltorf,GEN,20.05.2023 05:34:00
8600,0,Dübendorf,Dübendorf,ZH,197,Schwerzenbach,GEN,20.05.2023 05:34:00
